Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Publisher,Abbreviated Source Title,Document Type,Publication Stage,Access Type,Source,EID
"Zeitun R.M., Abdulqader K.S., Alshare K.A.","56109075600;57164883900;6507936650;","Team Satisfaction and Student Group Performance: A Cross-Cultural Study",2013,"Journal of Education for Business","88","5",,"286","293",,4,"10.1080/08832323.2012.701243","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984850526&doi=10.1080%2f08832323.2012.701243&partnerID=40&md5=4b8af0f5853b6462367a013646064713","The authors examined the relationship between team satisfaction and students’ performance in group projects in two universities, one from the United States and one from Qatar. The results showed that there is a significant positive correlation between team satisfaction and group performance only for the American students. Demographic factors such as gender, employment, course level, course subject, and group gender were partially significant in influencing students’ responses. American students performed better than Qatari students, but they were less satisfied with their team members. These differences may be attributed to the cultural dissimilarities between the American and the Qatari students; thus, students’ cultural backgrounds should be considered when forming groups. © 2013, Copyright Taylor & Francis Group, LLC.","Taylor and Francis Ltd.","J. Edu. Bus.",Article,"Final",,Scopus,2-s2.0-84984850526
"Chen L.H., Liu Q., Sun X.G.","37076685900;37117376200;57199148240;","PTBL: A learning model based on PBL and TBL for training soft skills supported by 3D virtual pedagogical platform(3DVPP)",2013,"International Journal of Information Systems in the Service Sector","5","3",,"63","84",,3,"10.4018/jisss.2013070105","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903211417&doi=10.4018%2fjisss.2013070105&partnerID=40&md5=9446413fd3e103f01643be551ac7f4f4","With software projects are becoming increasingly complicated, soft skills such as collaboration, effective communication, rhetoric, socio-cultural, accountabilities and collision resolution in real-life software projects, as well as computer programming are badly required for team members to cooperate and finish the strenuous projects. Therefore it is fundamental for software engineering students to improve such skills, if they want to accelerate the success of teamwork. Nowadays, the ability of effective cooperation and communication is much more important than raw programming talent. Teams with average programmers who communicate well are more likely to success than those with superstars but not good at communication. At the same time, these soft skills are just difficult to teach and learn which require true collaboration and communication between students. The traditional learning activities for training soft skills are insufficient based on the facts that teachers and mentors pay too much attention on professional and technical abilities instead of soft skills. In this paper, a novel learning model called Problem and Task Based Learning is proposed which includes Problem-Based Learning, Task-Based Learning, and Web3D technologies. This new model could elevate the teamwork skills in software engineering and overcome the common limitations of the traditional course. This paper also presents two courses using this learning model-a Task-game course and a virtual 3D meeting, as well as some experimental results obtained from the students and the teachers who have participated in the two case studies. Both students and teachers are from Software Engineering Department of Tsinghua University. © 2013, IGI Global.","IGI Global","Int. J. Inf. Syst. Serv. Sect.",Article,"Final",,Scopus,2-s2.0-84903211417
"Häfner P., Häfner V., Ovtcharova J.","55668456900;55669156300;55886439600;","Teaching methodology for virtual reality practical course in engineering education",2013,"Procedia Computer Science","25",,,"251","260",,50,"10.1016/j.procs.2013.11.031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890592262&doi=10.1016%2fj.procs.2013.11.031&partnerID=40&md5=d878a497e01710d843697a8e79d29cda","Virtual reality is widely used in the industry and is becoming more and more affordable for end users. At the same time higher education students want to be well-prepared for their professional life and expect more courses with practical application of theoretical knowledge acquired during their studies. Moreover, they benefit greatly when having the possibility to improve their soft skills. This paper presents the teaching methodology for a practical course in virtual reality for graduate and undergraduate students. The course design focuses on learning about virtual reality by simulating interdisciplinary industrial projects and it aims at developing skills such as methodical approach to practical engineering problems, teamwork, working in interdisciplinary groups and time management. In addition the paper discusses the importance of the course design, task specification and work group composition for a successful realization of the course and refers to some project examples from the past three years. © 2013 The Authors. Published by Elsevier B.V.","Elsevier B.V.","Procedia Comput. Sci.",Conference Paper,"Final",Open Access,Scopus,2-s2.0-84890592262
"McLurkin J., Rykowski J., John M., Kaseman Q., Lynch A.J.","57204378012;55503569100;36897621000;55503329800;57198185738;","Using multi-robot systems for engineering education: Teaching and outreach with large numbers of an advanced, low-cost robot",2013,"IEEE Transactions on Education","56","1", 6363493,"24","33",,69,"10.1109/TE.2012.2222646","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873405146&doi=10.1109%2fTE.2012.2222646&partnerID=40&md5=ee3b1b88d79ec3b40f21554777d2b3af","This paper describes the experiences of using an advanced, low-cost robot in science, technology, engineering, and mathematics (STEM) education. It presents three innovations: It is a powerful, cheap, robust, and small advanced personal robot; it forms the foundation of a problem-based learning curriculum; and it enables a novel multi-robot curriculum while fostering collaborative team work on assignments. The robot design has many features specific to educators: It is advanced enough for academic research, has a broad feature set to support a wide range of curricula, and is inexpensive enough to be an effective outreach tool. The low cost allows each student to have their own robot for the semester, so they can work on activities outside the classroom. This robot was used in three different classes in which it was the foundation for an innovative problem-based learning curriculum. In particular, the robot has specialized sensors and a communications system that supports novel multi-robot curricula, which encourage student interaction in new ways. The results are promising; the robot was a big success in graduate, undergraduate, and outreach activities. Finally, student assessments indicate a greater interest and understanding of engineering and other STEM majors, and class evaluations were consistently above average. © 1963-2012 IEEE.",,"IEEE Trans Educ",Article,"Final",,Scopus,2-s2.0-84873405146
"Lappi M., Lappi E.","56066982600;6504055106;","A serious game creation project as teaching method for geography",2013,"14th International Conference on Intelligent Games and Simulation, GAME-ON 2013",,,,"76","79",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896093431&partnerID=40&md5=60821d14c5403d7d956b263ed76b1839","The Paivola School of Mathematics has started a gaming project, in which the students learn Geography according to Finnish curriculum by creating sub models for an educational serious game that could be used by decision makers. The game is intended to give insight into the future challenges in humanitarian disaster relief operations. It will be created in cooperation with the international data farming community. The game will simulate for example weather, food production, transportation, demographics and infrastructure during a global climate change, where the decision maker is trying to limit humanitarian disaster that might occur after extraordinary weather conditions. The model is intended to be used in future Somalia type nations as well as to give insight into Finnish famine during the years 1867-1868. During the project, the students create the sub models for the simulation game. The gaming project has connections with geophysics and geography, Finnish history, social studies, mathematical modeling, software engineering, paper writing, English language and teamwork. Each student has his/her own area of expertise in accordance with cooperative learning methodology. The use of a real life problem is problem based learning.","EUROSIS","Int. Conf. Intell. Game. Simul.",Conference Paper,"Final",,Scopus,2-s2.0-84896093431
"Richter A., Riemer K.","35556968300;22235363800;","The contextual nature of enterprise social networking: A multi case study comparison",2013,"ECIS 2013 - Proceedings of the 21st European Conference on Information Systems",,,,"","",,51,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905845319&partnerID=40&md5=d2d8ed4476330b65cfbbc0e7d83d4311","Enterprise social networking (ESN) is a relatively new phenomenon and not yet fully understood. An important reason for this lies in the fact that ESN are built on malleable technologies that do not lend themselves to immediate forms of workplace usage determined or prescribed by their features. Rather, their potential only manifests when people make sense of and incorporate them into their day-to-day work practices. In this paper we consolidate three years of case study research into ESN adoption and use. We are able to demonstrate empirically the contextual nature of ESN as an emergent phenomenon that takes on different forms in different organisational contexts. Drawing on this data we derive a theory of ESN usage, which employs a set of use cases to provide a better picture of the possibilities of ESN when appropriated into team, project or large enterprise contexts. This allows reflecting on ESN as a contextual phenomenon and social infrastructure and builds a basis for further research.","Association for Information Systems","ECIS - Proc. Eur. Conf. Inf. Syst.",Conference Paper,"Final",,Scopus,2-s2.0-84905845319
"Thondhlana J., Smith A.F.V.","55384003600;55510018300;","Cracking the Case: A Task-Based Investigation of a Group Case-Study Project at a Business School",2013,"Journal of Business and Technical Communication","27","1",,"32","61",,2,"10.1177/1050651912458922","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870420308&doi=10.1177%2f1050651912458922&partnerID=40&md5=f7a37fb8c9336a342a225c9a028bd905","Research has noted an increase in the use of assessed group projects across disciplines in institutions of higher learning. Consequently, this study investigates the prompt for an assessed group case-study project in a sophomore business module in order to provide lecturers with tools and techniques for probing a prompt document. The authors use a task-analysis framework developed for task-based language teaching to examine the project's requirements and chain of integrated tasks. The study shows that the project prompt was dense and complicated and the component tasks were highly interactive and complex. Further, the study reveals that group case-study projects can play an important role in developing the team skills needed for future real-life projects. © The Author(s) 2012.",,"J. Bus. Tech. Commun.",Article,"Final",,Scopus,2-s2.0-84870420308
"Pinho-Lopes M., MacEdo J.","6504570767;39961884900;","Promoting problem solving and high order thinking skills in geotechnical courses",2013,"Proceedings - 2013 1st International Conference of the Portuguese Society for Engineering Education, CISPEE 2013",,, 6701987,"","",,3,"10.1109/CISPEE.2013.6701987","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893560386&doi=10.1109%2fCISPEE.2013.6701987&partnerID=40&md5=af7335a28868a16ba905b954222620bc","According to the literature, traditional engineering educational strategies (lectures, lab experiences and homework) have been criticised. On one hand, they inadequately prepare engineering students to engage in collaborative partnerships (essential for the practicing engineer) and, on the other hand, they promote passive learning and contribute to a compartmentalized curriculum. These strategies may not prepare students for the innovative and flexible role of engineers in today's society. Using non-traditional learning strategies is essential to prepare engineers ready to succeed in their professional life. To contribute to enhancing the problem solving skills and higher order thinking of the graduates in Civil Engineering program of University of Aveiro, Portugal, two complementary courses on Geotechnical subjects have been redesigned using non-traditional learning models: Soil Mechanics I and II. The non-traditional strategies include cooperative and collaborative learning models using team projects or problems. These models have been implemented since 2007/2008. The nontraditional learning strategies used are described and discussed, pointing out how they can contribute to the development of problem solving and high order thinking skills. The students' reactions to these models are addressed and the strategies implemented to promote their acceptance are presented. To assess the impact of the models implemented three different and complementary strategies were used: students' feedback during the semester; monitoring of marks; questionnaires at the end of the semester. The evolution of the students' response to these models is discussed using data collected in the courses. The models have been adapted to overcome some of the difficulties faced during their implementation. © 2013 IEEE.","IEEE Computer Society","Proc. - Int. Conf. Port. Soc. Eng. Educ., CISPEE",Conference Paper,"Final",,Scopus,2-s2.0-84893560386
"Li C.-Y.","36651262800;","Does self-efficacy contribute to knowledge sharing and innovation effectiveness? A multi-level perspective",2013,"Proceedings - Pacific Asia Conference on Information Systems, PACIS 2013",,,,"","",,4,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928474067&partnerID=40&md5=8796b26f8858ee90fd02fe1574183c13","The process of generating innovative ideas includes a number of complex tasks. Firms are increasingly turning to group project and teamwork structures to perform these tasks. Simply focusing on group members' engagement is insufficient to account for the ability of the firm to face challenges and the need to coordinate the efforts of hundreds of workers. Thus, group efficacy is used to represent a group's collective estimate of its own ability to perform a task objective. Based on multilevel theory, groups are inherently multilevel phenomena. Although the theoretical development of group efficacy has been discussed, few studies have used multilevel analyses to empirically test efficacy beliefs. This study integrates efficacy beliefs at the individual and group levels into a more comprehensive research framework. The findings show that, at the individual level, both learning orientation and affective commitment influence self-efficacy, and further impact knowledge sharing behavior. At the group level, this study confirms the mediation effects of entrepreneurial orientation on the relationship between group efficacy and innovativeness effectiveness. Training not only affects self-efficacy, but also moderates the relationship between learning orientation and self-efficacy. The findings also show that group knowledge sharing moderates the relationship between entrepreneurial orientation and innovation behavior.","Pacific Asia Conference on Information Systems","Proc. - Pac. Asia Conf. Inf. Syst., PACIS",Conference Paper,"Final",,Scopus,2-s2.0-84928474067
"Lin P.-C., Hou H.-T., Wang S.-M., Chang K.-E.","42261870800;8307988000;36144380600;56412175500;","Analyzing knowledge dimensions and cognitive process of a project-based online discussion instructional activity using Facebook in an adult and continuing education course",2013,"Computers and Education","60","1",,"110","121",,63,"10.1016/j.compedu.2012.07.017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866507973&doi=10.1016%2fj.compedu.2012.07.017&partnerID=40&md5=8d3f1b4a06a8c2213315a1dd9bd5b9cd","In recent years, social networking services (SNSs), for example, Facebook, have shown exponential growth in their number of users. Witnessing the popularity of these SNSs, educational researchers have also explored the potential educational value of using SNSs. Despite the few studies that have investigated learners' attitudes toward and the effects of incorporating SNSs in class, limited attention has been paid to examining learners' knowledge and cognitive processes involved in online discussions using SNSs. Although general public interest in life-long learning has been gradually increasing, relatively little attention has been devoted to exploring the application of SNSs in adult and continuing education programs. To promote a better understanding of using SNSs in learning, this study seeks to explore learners' online discussion behaviors in an art course that involved a project-based learning activity using a popular SNS, Facebook, to support students' asynchronous online discussions. The participants in our study included 62 students enrolled in the school of continuing education at a university in northern Taiwan. Adapting the Revised Bloom's Taxonomy as a coding scheme, this study employed a quantitative content analysis (QCA) and lag sequential analysis (LSA) to examine the content and behavioral patterns of students' discussions. The results indicate that the most prominent knowledge dimension in students' discussions is the meta-cognitive knowledge, while the cognitive process is primarily focused on understanding and comprehension. In addition, a moderate proportion of off-topic discussion was found in this study. Considering the different behaviors that may be exhibited by members of varied age and gender, a further analysis based on students' individual differences was conducted. The results showed that, in the context of online discussions, female and older learners are more likely to engage in off-topic discussions. Based on these findings, this study suggests that when conducting online discussion activities using SNSs, instructors should consider the characteristics of adult learners and their individual differences and design their teaching activities accordingly. Implications and limitations of this study are discussed, and pedagogical suggestions for adapting SNSs to teaching activities for adult and continuing education are proposed. © 2012 Elsevier Ltd. All rights reserved.",,"Comput Educ",Article,"Final",,Scopus,2-s2.0-84866507973
"McHenry W.K.","57204233584;","Selecting teams: The potential of “the Grid”",2013,"Education and Information Technologies","20","1",,"183","199",,2,"10.1007/s10639-013-9274-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881358278&doi=10.1007%2fs10639-013-9274-8&partnerID=40&md5=438db15a36a41fdf4c1f25d81e9c34dd","This paper investigates the use of a Computer-Based Team Selection Algorithm (CBTSA) in a capstone project course involving Information Systems, Human Resources, and Supply Chain/Operations undergraduate students. Data from three semesters of the course before this genetic algorithm was put into use are compared to data from three semesters after it was adopted. More than 50 % of the teams formed by the CBTSA were able to meet in part or in whole at times arranged by the CBTSA. Students in the CBTSA-formed teams experienced considerably less general time, procrastination and motivation problems, or specific scheduling conflicts. The percentage of students reporting that the team had to change its meeting schedule to accommodate them dropped to zero percent for the CBTSA-formed teams. Fewer CBTSA-formed teams seemed to break down with one or more low performing members. However, 42 % of the CBTSA-formed teams were created such that there were few really open meeting slots for every member. Some improvements to the genetic algorithm used in the CBTSA are investigated, but regardless of improvements, it is difficult to provide every team with rich meeting times and still achieve parity for the teams on a number of other criteria. © 2013, Springer Science+Business Media New York.","Springer New York LLC","Educ. Inf. Technol.",Article,"Final",,Scopus,2-s2.0-84881358278
"Supmonchai B., Maneeratana K.","7801353815;15042551300;","Teamwork assessment and averaged feedback to students in very small groups",2012,"Proceedings of IEEE International Conference on Teaching, Assessment, and Learning for Engineering, TALE 2012",,, 6360389,"T2C12","T2C17",,4,"10.1109/TALE.2012.6360389","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871494324&doi=10.1109%2fTALE.2012.6360389&partnerID=40&md5=662dda082e473af6147f6a4bd71f6d3a","Teamwork assessment by peers in small groups could be affected by personal relationships. This paper presented a system of teamwork assessments for a postgraduate course in a Thai university that integrated the collaborative learning and hand-on group projects as the means to deliver the desired outcome. Students found assessments quite suitable in assessing the teamwork and sufficiently detailed. They were very aware of the friendship but in general yield straightforward assessment with more benefit of doubts in students who felt a higher level of friendship. However, the assessment seemed to be less reliable for underperformed students. © 2012 IEEE.",,"Proc. IEEE Int. Conf. Teach., Assess., Learn. Eng., TALE",Conference Paper,"Final",,Scopus,2-s2.0-84871494324
"Chin C., Mesbahi E.","35106753600;6602156335;","Problem-based learning approach for martronics: An application on marine informatics course paper",2012,"Proceedings of IEEE International Conference on Teaching, Assessment, and Learning for Engineering, TALE 2012",,, 6360382,"T2B1","T2B4",,2,"10.1109/TALE.2012.6360382","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871495695&doi=10.1109%2fTALE.2012.6360382&partnerID=40&md5=386b11c89925f0e3ffe6520cb3e07704","The aim of this paper is to illustrate a proposed method of using modeling and simulation of a drilling vessel for the problem-based learning (PBL) project on marine informatics course at Newcastle University. Difficulties in teaching multi-disciplinary subject in the marine informatics course arise from the gap in experience and skill among instructors and students who have a different background in mechanical, electrical, naval architecture and marine engineering. A new curricula model that includes seminar sessions, weekly works and project presentations to provide holistic assessment on team works as well as individual contributions will be included in the PBL approach. © 2012 IEEE.",,"Proc. IEEE Int. Conf. Teach., Assess., Learn. Eng., TALE",Conference Paper,"Final",,Scopus,2-s2.0-84871495695
"Li K.F., Zielinski A., Gebali F.","7404990396;56477419900;6602969541;","Capstone team design projects in engineering curriculum: Content and management",2012,"Proceedings of IEEE International Conference on Teaching, Assessment, and Learning for Engineering, TALE 2012",,, 6360372,"T1C1","T1C6",,7,"10.1109/TALE.2012.6360372","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871474885&doi=10.1109%2fTALE.2012.6360372&partnerID=40&md5=d3320527261be061295a82edbda09c36","The Department of Electrical and Computer Engineering at the University of Victoria offers degree programs in computer, electrical, and software engineering. Students in these programs are required to take a compulsory capstone design project course in their final year of studies. The objective of the design project is to have the students go through the exercise of integrating their knowledge acquired in prior courses and experience gained in cooperative work terms, in a design focused project that satisfies multiple criteria. The issues and problems associated with the design project course are discussed. Past, present, and future initiatives to improve the learning experience and outcome are presented. Focuses of this work are on design content in engineering curriculum, design project team interaction, and design project management. © 2012 IEEE.",,"Proc. IEEE Int. Conf. Teach., Assess., Learn. Eng., TALE",Conference Paper,"Final",,Scopus,2-s2.0-84871474885
"McDermott R., Daniels M., Cajander A., Cullhed M., Clear T., Laxer C.","36928180000;7201966420;8116545800;55617436200;35615244100;6603444580;","Student reflections on Collaborative Technology in a globally distributed student project",2012,"Proceedings - Frontiers in Education Conference, FIE",,, 6462410,"","",,10,"10.1109/FIE.2012.6462410","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874716481&doi=10.1109%2fFIE.2012.6462410&partnerID=40&md5=f98c6504ef4392d236d578948112be5e","Collaborative Technology (CT) plays an important role in overcoming the challenges of globally distributed projects. It enables collaboration, but the specific choice of technology also imposes constraints on how projects are conducted. Over the past decade, we have engaged in an action research programme to develop an Open-Ended Group Project situated in an educational framework in which international collaboration, including interaction with a real world client, is an essential component. This paper investigates the manner in which students reflected on their patterns of CT use within the collaborative setting. In general, these reflections were found to be superficial and descriptive, exhibiting a reductive view of CT as a set of technological features, which acted as a neutral medium for communication and participation. One consequence of this was a lack of awareness of the ways in which the technology influenced the behaviour of individual students or the collaborative nature of the group. We explore some potential causes for this and reflect on some difficulties faced by the students. These have important pedagogical implications for courses in which the learning objectives include the development of suitable competencies for working in a global collaborative environment. © 2012 IEEE.",,"Proc. Front. Educ. Conf. FIE",Conference Paper,"Final",,Scopus,2-s2.0-84874716481
"Cajander A., Daniels M., Cullhed M., Clear T., McDermott R., Laxer C.","8116545800;7201966420;55617436200;35615244100;36928180000;6603444580;","Categorizing how students use Collaborative Technologies in a globally distributed project",2012,"Proceedings - Frontiers in Education Conference, FIE",,, 6462411,"","",,7,"10.1109/FIE.2012.6462411","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874682090&doi=10.1109%2fFIE.2012.6462411&partnerID=40&md5=9bc6f911ac26049f8c97fd94c368bf86","Possibilities for collaboration in globally distributed projects have radically changed with the introduction of new Collaborative Technologies (CTs) in the Web 2.0 era. The use of such technologies in the context of students collaborating in a globally distributed project is little explored in research. A better understanding would provide opportunities for improving the collaboration, and more importantly is that a better understanding would improve the possibility of scaffolding, and student learning in general. In this paper we present results from a study of students' use of CTs in a globally distributed project with a focus on the challenges encountered in trying to collaborate using this technology. The study is focused on a few aspects of how a combination of CTs could be utilized and issues associated with their set up and adaption for use. We discuss potential reasons for the observed patterns of technology use and how they influenced the collaboration environment around a globally distributed student project. © 2012 IEEE.",,"Proc. Front. Educ. Conf. FIE",Conference Paper,"Final",,Scopus,2-s2.0-84874682090
"Anderson R.E., Anderson R.J., Borriello G., Kolko B.","56318102600;7406489612;7006229514;6602245208;","Designing technology for resource-constrained environments: Three approaches to a multidisciplinary capstone sequence",2012,"Proceedings - Frontiers in Education Conference, FIE",,, 6462501,"","",,12,"10.1109/FIE.2012.6462501","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874672853&doi=10.1109%2fFIE.2012.6462501&partnerID=40&md5=aee7656680f3bd6dee9e9768fc2b1a7e","In this paper we describe three different offerings of a multi-quarter multidisciplinary capstone experience where students engaged in designing and building technology to address problems faced by populations in local and remote resource-constrained environments. We define resource-constrained environments broadly (e.g., low-income communities, low bandwidth environments). These environments provide unique constraints (e.g., cultures where people are unfamiliar with or afraid of technology, environments where power and network connectivity are scarce and expensive). Students are partnered with organizations interested in piloting a solution they devise. The course brings together multidisciplinary teams of students to conduct fieldwork with potential user populations, design a technology to solve a problem inspired by a community-based organization, implement a solution, and evaluate that solution. Students work on projects with real-world impact and gain valuable experience with multidisciplinary design and multidisciplinary team work. In this paper we describe the three class formats we have attempted, sample student projects, and course outcomes based on student projects and survey responses. We also address the various ways projects have continued past the course, and we analyze the structural course and project elements that have contributed to student and research successes. © 2012 IEEE.",,"Proc. Front. Educ. Conf. FIE",Conference Paper,"Final",,Scopus,2-s2.0-84874672853
"Obikwelu C., Read J., Sim G.","55696286900;15760807600;11839440300;","The serious game approach to problem-based learning for the dependent learner",2012,"Proceedings of the European Conference on Games-based Learning",,,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897785806&partnerID=40&md5=870c6e80e6b7cbd6f3ba7fc99cd86f3d","Cognitive sciences research has resulted in a greater understanding of learning thus causing a paradigm shift from fact-based learning to inquiry-based learning leading to a renewed embrace of Problem- Based Learning (PBL). In addition, the constructivist pedagogical approach to instructional design has also rekindled interest in Problem Based Learning. PBL is characterized by Problem stimulating learning; group work stimulating interaction and tutors facilitating it. There have been perceptions that PBL is meant for the independent learner (gifted) alone; it is unsuitable for young students in that the self-directed study component of PBL can be difficult for them. It could be argued that either Kiili's Problem-Based Gaming Model conception rests on these perceptions, thus the emphasis on reflective-thinking or the model is restricted to independent problem solving thus robbing children the chance of reaching their level of potential development through support from teachers and collaborating with more capable peers. Be it as it may, in contrast it has been revealed that the benefits of PBL represent valuable educational goals for all learners, not just for the gifted or independent problem solvers. Though reflection is an element of PBL, so is scaffolding. Scaffolding is based on the Vygotzkian Zone of Proximal Development (ZPD) concept which refers to the distance between the actual development level as determined by independent problem solving and the level of potential development as determined through problem solving under adult guidance, or in collaboration with more capable peers. Providing support for children (primary six) could be a daunting task, placing a high demand on the teacher's time considering the varied ZPDs. The aim of this work is to design a serious game framework with an effective scaffolding mechanism which can be fine-tuned to suit various ZPDs. This would be done to make teacher's support for Problem Based Learning less daunting in addition to engaging the children. This is particularly important because the child stand to gain problem-solving skills and a positive attitude toward learning.",,"Proc. European Conf. Games-based Learn.",Conference Paper,"Final",,Scopus,2-s2.0-84897785806
"Voss M.","57117340900;","Students response to open-ended problems in an engineering design project",2012,"Proceedings of the 14th International Conference on Engineering and Product Design Education: Design Education for Future Wellbeing, EPDE 2012",,,,"343","348",,3,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879654020&partnerID=40&md5=10a3e88dfc76dced0c0426e3e0d4b71a","Engineering Design is not teachable without letting students explore the design process on their own. Therefore students are often confronted with open-ended problems in Engineering Design projects. The paper outlines a course concept for such a project that is based on a strengthened employment of project management methods, formalises roles of students and faculty, tries to engage students in working scientifically with literature, and lets students participate in the evaluation of their work. The students' response to the course concept was collected in a comparative study. The effect of the concept was measured in a statistical survey by comparing the answers of students working with that concept with others from parallel classes that do not. The results indicate that students particularly perceive that the presented course concept shortens feedback loops, intensifies communication between students and faculty about the learning outcome and affords useful insights into design projects. The drawn conclusions from this study may serve as reference for other lecturers reorganising their project-based Engineering Design courses.",,"Proc. Int. Conf. Eng. Prod. Des. Educ.: Des. Educ. Future Wellbeing, EPDE",Conference Paper,"Final",,Scopus,2-s2.0-84879654020
"Chin J., Zeid I., Duggan C., Kamarthi S.","49861120800;7006538978;49861299900;35587084600;","Why engineering-based learning can revolutionize stem teaching in high schools",2012,"ASME International Mechanical Engineering Congress and Exposition, Proceedings (IMECE)","5",,,"383","393",,1,"10.1115/IMECE2012-86355","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887284506&doi=10.1115%2fIMECE2012-86355&partnerID=40&md5=d22a9a2d3b802877be817245061ceecd","For many years, literature has documented the benefits of project-based learning (PBL) and its impact on student learning especially at the high school level. More often than not however, students are still losing interest in STEM (Science, Technology, Engineering, and Mathematics) education because current educational teaching pedagogies have become antiquated and are not impacting student learning, as it should. With that said, our discovery through elicitation of high school educators has cited the main reason for such disinterest is due to the inability of students to connect STEM abstract concepts and theory with STEM application to appreciate the value of learning STEM. With access to information easier than ever, students are forgetting that learning is not about getting the right answer but understanding how to solve a complex problem. In the past, PBL has benefited students in engaging them in hands-on learning however, with a more complex paradigm shift in student learning style, PBL and lecture-based learning are no longer the most effective methods of teaching. Engineering-based learning has the opportunity and potential to modify STEM education and revolutionize STEM teaching pedagogy by changing the one-size-fits-all model to an individual, student-centered learning approach where education is mass customized. This paper discusses a new teaching pedagogy dubbed Engineering-Based Learning (EBL) that is a more systematic approach to high school STEM teaching for open-ended problems. This paper presents the EBL model, the EBL tools, and its impact thus far on high school students. It also presents sample feedback from both teachers and students and how it has influenced their outlook of engineering and STEM in the real world. The purpose of this paper is also to disseminate this new teaching pedagogy to support the notion that STEM education can be successfully taught and provide students with a structured, systematic, hands-on approach, as well as the appropriate tools and resources allowing them to connect complex STEM theory and real-world application. Copyright © 2012 by ASME.",,"ASME Int Mech Eng Congress Expos Proc",Conference Paper,"Final",,Scopus,2-s2.0-84887284506
"Ham J.J., Schnabel M.A.","47161225500;44861619400;","How social is the virtual design studio?: A case study of a third year design studio",2012,"Beyond Codes and Pixels - Proceedings of the 17th International Conference on Computer-Aided Architectural Design Research in Asia, CAADRIA 2012",,,,"173","182",,4,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875276419&partnerID=40&md5=7003bc50634280abc6258b740a21fcb3","With the advent of social networks, it became apparent that the social aspect of designing and learning plays a crucial role in students' education. Technologies and skills are the base on which learners interact. The ease of communication, leadership opportunity, democratic interaction, teamwork, and the sense of community are some of the aspects that are now in the centre of design interaction. The paper examines Virtual Design Studios (VDS) that used media-rich platforms and analyses the influence the social aspect plays in solving all problems on the sample of a design studio at Deakin University. It studies the effectiveness of the generated social intelligence and explores the facilitation of students' self-directed learning. Hereby the paper studies the construction of knowledge via social interaction and how blended learning environments foster motivation and information exchange. It presents its finding based on VDS that were held over the past three years. © 2012, Association for Computer-Aided Architectural Design Research in Asia (CAADRIA), Hong Kong.",,"Beyond Codes Pixels - Proc. Int. Conf. Comput.-Aided Archit. Des. Res. Asia, CAADRIA",Conference Paper,"Final",,Scopus,2-s2.0-84875276419
"Barroso L.R., Morgan J.R.J.","7005621383;55451256900;","Developing a dynamics and vibrations course for civil engineering students based on fundamental-principles",2012,"Advances in Engineering Education","3","1",,"1","35a",,5,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865147139&partnerID=40&md5=8994172830e50c435a2659f1d63a8334","This paper describes the creation and evolution of an undergraduate dynamics and vibrations course for civil engineering students. Incorporating vibrations into the course allows students to see and study real civil engineering applications of the course content. This connection of academic principles to real life situations is in itself a critical learning stage for the students, and addressing the creation of these connections led to the incorporation of active demonstrations into the course. The course also focuses on developing skills through various active learning strategies that can be transferred to other non-structural engineering courses, such as problem solving and critical thinking, as well as ABET skills such as teamwork and the utilization of computer tools. This paper presents how designing a course structure and implementation with the explicit consideration of developing these critical skills aids students in mastering both course content and in enhancing their educational development. Results of increased student performance due to the synthesis of strategies incorporated into the course are presented, including performance in a later course as well as in the dynamics portion of the Fundamentals of Engineering exam.",,"Adv. Eng. Educ.",Article,"Final",,Scopus,2-s2.0-84865147139
