"Document Title";Authors;"Author Affiliations";"Publication Title";Date Added To Xplore;"Publication Year";"Volume";"Issue";"Start Page";"End Page";"Abstract";"ISSN";ISBNs;"DOI";Funding Information;PDF Link;"Author Keywords";"IEEE Terms";"INSPEC Controlled Terms";"INSPEC Non-Controlled Terms";"Mesh_Terms";Article Citation Count;"Reference Count";"License";"Online Date";Issue Date;"Meeting Date";"Publisher";Document Identifier
"Student projects in assistive technologies";"L. Lhotska; O. Stepankova; P. Novak; J. Dolezal; J. Havlik; M. Uller";"Czech Technical University in Prague; Czech Republic; Czech Technical University in Prague; Czech Republic; Czech Technical University in Prague; Czech Republic; Czech Technical University in Prague; Czech Republic; Czech Technical University in Prague; Czech Republic; Czech Technical University in Prague; Czech Republic";"2014 Information Technology Based Higher Education and Training (ITHET)";"";"2014";"";"";"1";"8";"The paper presents briefly our educational activities in the area of assistive technologies. We have developed a special course on assistive technologies that uses in practical part project-based approach. We have established a specialized facility where the students can work on their projects. The facility simulates real environment of a smart home and a hospital room. The students can select a topic for a project from our proposals or they can come with their own ideas. In the paper we present results of several student projects that can be in the future used as practical applications for people with special needs. Some of them can be additionally used as games both for children and adults.";"";"978-1-4673-6730-1";"10.1109/ITHET.2014.7155706";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7155706";"assistive technology;interdisciplinarity;education;student project";"Sociology;Statistics;Monitoring;Biomedical monitoring;Medical services";"assisted living;computer science education;educational courses;home computing";"student projects;assistive technologies;educational activities;course;practical part project-based approach;specialized facility;smart home;hospital room;games";"";"";"11";"";"";"";"";"IEEE";"IEEE Conferences"
"A unified approach for assessing capstone design projects and student outcomes in computer engineering programs";"J. Yousafzai; I. Damaj; M. El Abd";"Department of Electrical and Computer Engineering; American University of Kuwait; Salmiya; Kuwait; Department of Electrical and Computer Engineering; American University of Kuwait; Salmiya; Kuwait; Department of Electrical and Computer Engineering; American University of Kuwait; Salmiya; Kuwait";"2015 IEEE Global Engineering Education Conference (EDUCON)";"";"2015";"";"";"333";"339";"A capstone design project is an extensive piece of work that requires creative activity and thinking. It provides a unique opportunity for students to demonstrate their abilities; skills; and experiences that are attained throughout a bachelor of engineering program. The learning outcomes of capstone projects mostly map to all student outcomes at the program level. This paper presents a unified assessment framework for capstone design courses which allows for sound evaluations of student performance and project qualities in addition to assessing student outcomes. The developed framework comprises criteria; indicators; extensive analytic rubrics; and a summative statistical formulation. The presented course and framework are supported by the results; analysis; and evaluation of a pilot study.";"2165-9567";"978-1-4799-1908-6";"10.1109/EDUCON.2015.7095993";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7095993";"design capstone projects;measurement;assessment;programmatic accreditation;ABET;student outcomes";"Calibration;Engineering education;Computers;Conferences;Project management;Oral communication";"computer science education;educational courses;electrical engineering education;further education";"capstone design projects assessment;student outcomes assessment;computer engineering programs;capstone design courses;engineering bachelor program";"";"5";"11";"";"";"";"";"IEEE";"IEEE Conferences"
"EMC education with environmental and electronics technology orientation";"P. L. Ogrutan; A. C. Stanca; L. E. Aciu";"Department of Electronics and Computer; Transilvania University; Brasov; Romania; Department of Electronics and Computer; Transilvania University; Brasov; Romania; Department of Electrical Engineering and Applied Physics; Transilvania University; Brasov; Romania";"2015 IEEE 21st International Symposium for Design and Technology in Electronic Packaging (SIITME)";"";"2015";"";"";"387";"392";"This paper proposes a didactical strategy accordingly with some of the current challenges of the higher engineering education. In the attempt to stem the decrease of students' motivation in pursuing the study of technological disciplines; the system's response was to organize outdoor laboratories or to locate them in spaces dedicated to scientific research along with applying the PBL (Project Based Learning) method. This paper analyzes the impact produced by this strategy on the course of EMC (Electromagnetic Compatibility) taught at the Faculty of Electrical Engineering and Computer Science; for the study programmes Electrical Engineering and Applied Electronics. The details of the implemented strategy are also presented. The presentation comprises the new types of laboratories; which are described in the study; along with an analysis of the obtained results based on objective statistical data (course attendance and marks obtained by the students) as well as on subjective data (collected from questionnaires applied to students). The results of the study confirmed the positive impact of the implemented strategy; the number of students who completed the proposed elective project increased along with the average of the marks obtained by them.";"";"978-1-5090-0332-7";"10.1109/SIITME.2015.7342359";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7342359";"electric field;electromagnetic compatibility;engineering education;technology;pick and place system";"Frequency measurement;Electric fields;Electromagnetic compatibility;Antenna measurements;Electric variables measurement;Laboratories;Computers";"educational courses;electrical engineering computing;electromagnetic compatibility;further education";"EMC education;electronics technology orientation;higher engineering education;PBL method;project based learning method;electromagnetic compatibility;Faculty of Electrical Engineering and Computer Science;objective statistical data;applied electronics;electrical engineering";"";"";"13";"";"";"";"";"IEEE";"IEEE Conferences"
"Engineering capstone project an individual approach";"C. M. Tobar; R. L. de Freitas; J. M. A. Coello";"Pontifical Catholic University of Campinas; Pontifical Catholic University of Campinas; Pontifical Catholic University of Campinas";"2011 Frontiers in Education Conference (FIE)";"";"2011";"";"";"T1F-1";"T1F-6";"This article presents a capstone project (CP) approach based on a two-semester effort developed individually to build up and reinforce skills fostered during a computer-engineering curriculum. The CP result is an artifact to be inserted in a context; which is developed; under guidance and monitoring. Besides the student; there are other three roles involved: the advisor for methodological issues; the co-advisor; for technical issues; and the client; to be the source for context knowledge. The student is responsible by planning; developing and managing the project; reporting it in a monograph that is presented in a public defense together with the artifact. The artifact must present a level of complexity that allows measuring some considered major skills. Student and co-advisor choose a methodology for the development effort; whose activities are planned and scheduled. The student should identify open problems in the considered context. One of these problems is chosen as an objective; which should be assessed. Assessment is considered an important issue in the development process. Results are promising: artifacts became real solutions; some even patented; students began graduation because of their CPs or were invited to work because of the acquired knowledge and skills; and students succeed with high self esteem and better communication skills.";"2377-634X";"978-1-61284-469-5";"10.1109/FIE.2011.6142951";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6142951";"Capstone project;Computer engineering education;Individual capstone;Under graduation";"Complexity theory;Context;Computers;Monitoring;Educational institutions;Conferences;Planning";"computer science education;educational courses";"engineering Capstone project approach;computer-engineering curriculum;methodological issue advisor;technical issue coadvisor;client;context knowledge;public defense;assessment";"";"1";"21";"";"";"";"";"IEEE";"IEEE Conferences"
"Group project work from the outset: An in-depth teaching experience report";"M. Shepperd";"Brunel University; UK";"2011 24th IEEE-CS Conference on Software Engineering Education and Training (CSEE&T)";"";"2011";"";"";"361";"370";"We redesigned our undergraduate computing programmes to address problems of motivation and outdated content. The primary vehicle for the new curriculum was the group project which formed a central spine for the entire degree right from the first year. In terms of results; thus far this programme has been successfully run once. Failures; drop outs and students required to retake modules have been halved (from an average of 21.6% from the previous 4 years to 9.5%) and students obtaining the top two grades have increased from 25.2% to 38.9%. Whilst we cannot be certain that all improvement is due to the group projects; informally the change has been well received; however; we are looking for areas to improve including the possibility of more structured support for student metacognitive awareness.";"2377-570X";"978-1-4577-0348-5";"10.1109/CSEET.2011.5876107";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5876107";"";"Software;Documentation;Programming profession;Materials;Java";"educational computing;further education";"group project work;in-depth teaching experience report;undergraduate computing programmes;student metacognitive awareness";"";"3";"12";"";"";"";"";"IEEE";"IEEE Conferences"
"Design of Capstone Projects under CDIO Mode";"W. Zhang";"Northeastern University; China";"2019 International Conference on Computational Science and Computational Intelligence (CSCI)";"";"2019";"";"";"849";"852";"CDIO engineering education is a brand-new education approach. The main purpose of implementing CDIO is to provide students with a realistic experience of working in an enterprise environment. This requires each school or university to have a systematic method to design CDIO educational approach; especially project-based teaching. This paper studied the characteristics of the CDIO capstone projects; which are the core elements of the CDIO framework. Based on the experience of overseas universities such as Umeå University in Sweden; University of California and Singapore University of Technology; and the author's teaching practice; a solution has been proposed to design; analyze; and evaluate capstone projects for computer science. The validity of the proposal has been verified by data analyses of teaching quality as well as the experimental comparison of pre-and post-testing for undergraduate final projects instructed by the author.";"";"978-1-7281-5584-5";"10.1109/CSCI49370.2019.00161";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9070850";"CDIO education approach;capstone project;project evaluation;ABET accreditation standards";"Handheld computers;Scientific computing;Computational intelligence;Engineering education;Accreditation;Standards;Industries";"";"";"";"";"12";"";"";"";"";"IEEE";"IEEE Conferences"
"A Blended Learning Method Applied in Data Communication and Computer Networks Subject";"F. N Leite; E. Shigueo Hoji; H. Abdalla Junior";"Inst. Fed. de Brasilia; Brasilia; Brazil; Inst. Fed. de Sao Paulo; Sao Paulo; Brazil; Univ. de Brasilia; Brasilia; Brazil";"IEEE Latin America Transactions";"";"2018";"16";"1";"163";"171";"In this paper; we describe the challenges faced in the implementation of active learning methods in the subject of Data Communication & Computer Network in vocational education at the Federal Institute of Brasilia. The experiences resulted in a blended methodology which combines collaborative and problem-based learning and flipped classroom with a learning management system. Popular apps and social networks were used to enhance the communication between students and teachers. A comparative study shows that the students' performance and the quality of the developed activities in the subject were improved under active learning in comparison to Traditional Lectures; and transversal skills could be developed; such as teamwork; leadership; self-confidence and autonomy in decision-making. The research was carried out from 2011 to 2016 and 160 students were enrolled. Such features demonstrate the learning methodology must be fit for the course and the educational level in order to become effective.";"1548-0992";"";"10.1109/TLA.2018.8291469";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8291469";"Blended Learning;Flipped Classroom;Learning Management Systems;Problem Based Learning";"Learning systems;IEEE transactions;Data communication;Computer networks;Education;Online services";"computer aided instruction;computer science education;educational courses";"blended learning method;data communication and computer networks subject;educational level;learning methodology;developed activities;comparative study;social networks;learning management system;blended methodology;vocational education;active learning methods";"";"";"";"";"";"";"";"IEEE";"IEEE Journals"
"Supporting the Software Development Process Using Social Media: Experiences with Student Projects";"R. Juarez-Ramirez; R. Pimienta-Romo; V. Ocegueda-Miramontes";"Sch. of Chem. Sci. & Eng.; Autonomous Univ. of Baja California; Tijuana; China; Sch. of Chem. Sci. & Eng.; Autonomous Univ. of Baja California; Tijuana; China; Sch. of Chem. Sci. & Eng.; Autonomous Univ. of Baja California; Tijuana; China";"2013 IEEE 37th Annual Computer Software and Applications Conference Workshops";"";"2013";"";"";"656";"661";"Traditionally; teamwork faces problems related with communication and coordination in both local and distributed environments; software development is not an exception. Some of the most significant problems in communication are the lack of reciprocity and fast response; especially in distributed environments. Communication should be motivated and maintained through the project development. Early media such as e-mail and forums do not possess such source of motivation and synchronization. New media such as Facebook and G+ have such elements that motivate team members; especially young developers; to remain online facilitating the communication just in time. In this paper we present some experiences using the most popular social media such as Facebook; G+; Skype; and Dropbox in developing software projects. Our study presents statistics of what kinds of communication and coordination issues are properly implemented using Facebook. Based on this; we present an initial set of metrics to assess how communication; coordination and knowledge sharing are implemented in these kinds of distributed environments.";"";"978-1-4799-2159-1";"10.1109/COMPSACW.2013.82";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6605867";"teamwork; communication; coordination; social media";"Media;Time factors;Measurement;Facebook;Software;Authorization;Proposals";"electronic mail;project management;social networking (online);software engineering;team working";"software development process;social media;student projects;teamwork;local environment;distributed environments;project development;e-mail;synchronization;Facebook;G+;team members;Skype;Dropbox";"";"1";"19";"";"";"";"";"IEEE";"IEEE Conferences"
"Fostering UML Modeling Skills and Social Skills through Programming Education";"N. Ishii; Y. Suzuki; H. Fujiyoshi; T. Fujii";"Aichi Kiwami Coll. of Nursing; Japan; Res. Inst. for Inf. Sci.; Chubu Univ.; Kasugai; Japan; Res. Inst. for Inf. Sci.; Chubu Univ.; Kasugai; Japan; Coll. of Eng.; Chubu Univ.; Kasugai; Japan";"2010 23rd IEEE Conference on Software Engineering Education and Training";"";"2010";"";"";"25";"32";"In this research; we attempted to support the learning of the UML modeling skills and social skills required in software development scenarios as part of programming education in the Department of Engineering. We conducted a class based on PBL in which the learners formed teams to build a robot using LEGO Mindstorms. The results confirmed that through the classes; the learners showed improvements in both modeling skills and social skills. These results demonstrate the educational effectiveness of class design based on PBL and using the theme of building a robot; and the effectiveness of the modeling template created through this research.";"2377-570X";"978-1-4244-7053-2";"10.1109/CSEET.2010.20";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5463620";"";"Unified modeling language;Programming profession;Educational programs;Object oriented modeling;Educational institutions;Robot programming;Information science;Buildings;Educational robots;Educational products";"computer aided instruction;computer science education;engineering education;software engineering;Unified Modeling Language";"UML modeling skills;social skills;programming education;software development;Department of Engineering;PBL;LEGO mindstorms;educational effectiveness;class design";"";"";"6";"";"";"";"";"IEEE";"IEEE Conferences"
"Applying Scrum project management in ECE curriculum";"R. B. Bass; B. Pejcinovic; J. Grant";"Electrical and Computer Engineering Dept.; Portland State University; OR; USA; Electrical and Computer Engineering Dept.; Portland State University; OR; USA; Electrical and Computer Engineering Dept.; Portland State University; OR; USA";"2016 IEEE Frontiers in Education Conference (FIE)";"";"2016";"";"";"1";"5";"Scrum is a cyclical project management technique whereby members of a development team work together to define product development strategies in pursuit of a common objective in an adaptable and incremental manner. We have found that Scrum is a promising approach for exposing students to project management of undergraduate engineering projects. But; the technique is not used often in undergraduate education; and it is virtually unknown outside of software engineering circles. We are experimenting with using Scrum in projects across several years of undergraduate engineering education. Our goal is to gradually expose students to project management in order to make their project experiences and learning more efficient and effective. We report on successful initial implementations in freshman courses and senior capstone design courses. Obstacles include expanding practice across all four years; accommodating a diverse student population; and overcoming a lack of experience in assessing Scrum project management.";"";"978-1-5090-1790-4";"10.1109/FIE.2016.7757568";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7757568";"engineering curriculum;engineering management;electrical engineering;freshman;design projects;capstone projects;Scrum";"Project management;Teamwork;Planning;Computers;Engineering education;Manganese;Context";"computer science education;educational courses;electrical engineering education;further education;project management;software engineering";"senior capstone design courses;freshman courses;project experiences;project learning;undergraduate engineering education;software engineering circles;undergraduate engineering projects;product development strategies;cyclical project management;ECE curriculum;scrum project management";"";"1";"16";"";"";"";"";"IEEE";"IEEE Conferences"
"VR Course Construction Oriented by Innovation Project Development";"J. Ying; Z. Jie; T. Ye; C. Hong";"dept. of Computer Science and Technology; Nanjing University; Nanjing; China; dept. of Computer Science and Technology; Nanjing University; Nanjing; China; dept. of Computer Science and Technology; Nanjing University; Nanjing; China; Shanghai Teach Forward Information Technology Co. Ltd.; Shanghai; China";"2019 14th International Conference on Computer Science & Education (ICCSE)";"";"2019";"";"";"851";"855";"Based on the demand for VR talents in today's society; virtual reality technology courses are offered in colleges and universities. This paper explores the construction idea of virtual reality course as one of innovation and entrepreneurship courses; and carries out practical teaching. By introducing the mode of school-enterprise cooperation; we can achieve complementary advantages. In order to achieve the two course objectives of VR technology training and innovation and entrepreneurship awareness training; the course is driven by innovation project development and technology learning; which is set up in four stages: project establishment and technology popularization stage; practical case training stage; independent project development stage; results release and inspection stage; and highlights group system; guidance system and acceptance system as course characteristics. In particular; in the stage of independent project development; the orientation system has been innovated; from students' free proposition to publishing Enterprise-level Project themes and needs; to enhance the integrity and interaction of student projects; and to improve the quality; significance and competitiveness of completed projects.";"2473-9464";"978-1-7281-1846-8";"10.1109/ICCSE.2019.8845372";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8845372";"virtual reality;Innovation project;project driven;course construction";"Virtual reality;Technological innovation;Training;Entrepreneurship;Industries;Solid modeling";"commerce;computer based training;computer science education;educational courses;educational institutions;innovation management;management education;teaching;virtual reality";"innovation project development;VR talents;virtual reality technology courses;colleges;universities;virtual reality course;entrepreneurship courses;practical teaching;school-enterprise cooperation;VR technology training;entrepreneurship awareness training;technology learning;student projects;VR course construction;innovation courses";"";"";"5";"";"";"";"";"IEEE";"IEEE Conferences"
"Analysis of Introducing Active Learning Methodologies in a Basic Computer Architecture Course";"O. Arbelaitz; J. I. Martı´n; J. Muguerza";"Department of Computer Architecture and Technology; UPV/EHU; Donostia-San Sebastian; Department of Computer Architecture and Technology; UPV/EHU; Donostia-San Sebastian; Department of Computer Architecture and Technology; UPV/EHU; Donostia-San Sebastian";"IEEE Transactions on Education";"";"2015";"58";"2";"110";"116";"This paper presents an analysis of introducing active methodologies in the Computer Architecture course taught in the second year of the Computer Engineering Bachelor's degree program at the University of the Basque Country (UPV/EHU); Spain. The paper reports the experience from three academic years; 2011-2012; 2012-2013; and 2013-2014; in which three types of data were considered for analysis: students' dedication; as measured by time spent on the project; their marks; and their level of satisfaction. The study shows that about 86% of students are satisfied with the teaching methodology and are willing to continue using it in future courses. The study also shows that the active methodologies used contribute to the students' cross-curricular training and do not generate any great increase in student workload. Finally; a statistical analysis of the evolution of student performance showed that marks improved to a statistically significant extent after introducing active methodologies.";"1557-9638";"";"10.1109/TE.2014.2332448";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6851215";"Active learning methodologies;collaborative learning;continuous assessment;cross-curricular competencies;project-based learning (PBL)";"Computer architecture;Parallel processing;Collaborative work;Computers;Educational institutions;Collaboration";"computer science education;educational courses;teaching;training";"active learning methodology analysis;basic computer architecture course;Computer Engineering Bachelor degree program;University of the Basque Country;UPV-EHU;teaching methodology;student cross-curricular training;statistical analysis";"";"12";"21";"";"";"";"";"IEEE";"IEEE Journals"
"Can a Team Coordination Game Help Student Software Project Teams?";"O. Alsaedi; Z. Toups; J. Cook";"NA; NA; NA";"2016 IEEE/ACM Cooperative and Human Aspects of Software Engineering (CHASE)";"";"2016";"";"";"33";"39";"Team-based student projects in beginning software engineering courses are often the first place that students have tried working on a team to develop a shared software product. For this reason; team coordination and communication skills are probably very important to their team success. We have access and experience with a research training game named TeC; developed to improve team coordination in disaster response teams; and hypothesized that it might help student software teams. We ran a course experiment where we used the training game as a treatment; and a generic board game as a control. With only 8 teams in the course available to participate; and 6 ultimately completing the experiment; statistical results are inconclusive. Nevertheless; interesting outcomes were obtained that indicate potential benefit of such a training game; and we believe this argues for more research in the area.";"";"978-1-4503-4155-4";"10.1109/CHASE.2016.014";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7809480";"software engineering education;game based education;team coordination";"Games;Software;Software engineering;Training;Real-time systems;Stress;Avatars";"computer based training;computer science education;educational courses;project management;serious games (computing);software management;team working";"team coordination game;student software project teams;team-based student projects;software engineering courses;shared software product development;team coordination skills;team communication skills;research training game;TeC game;disaster response teams;generic board game";"";"";"23";"";"";"";"";"IEEE";"IEEE Conferences"
"Participating in an Industry Based Social Service Program: a Report of Student Perception of What They Learn and What They Need";"M. E. Morales-Trujillo; G. A. García-Mireles";"Computer Science and Software Engineering Department; University of Canterbury; Christchurch; New Zealand; Departamento de Matemáticas; Universidad de Sonora; Hermosillo; Mexico";"2019 Federated Conference on Computer Science and Information Systems (FedCSIS)";"";"2019";"";"";"861";"870";"Skills demanded by the IT industry from graduates should be aligned with the curricula of Computer Science undergraduate programs. It is well-known that theoretical knowledge undergraduate students acquire during their studies needs to be complemented with practical experience; therefore; participating in university supported real life projects is a viable option for the students to get prepared for the industry. This paper reports findings from a survey applied to students who had been involved in an industry-based program meant to fulfill their graduation requirements; including the opportunity to develop a capstone project. We gathered their perceptions regarding what they learned during their studies; what they acquired in the industry-based program and what they consider useful for their current jobs. The results show that most topics are aligned between the Bachelor's degree program and the industry needs; but there is a strong separation in the cognitive levels students achieve at each stage. The paper provides insight into the needs of Computer Science students and contributes to finding ways of increasing undergraduate student satisfaction with skills acquired at university and their application in real contexts.";"2300-5963";"978-83-952357-8-8";"10.15439/2019F279";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8859741";"";"Industries;Software;Programming profession;Tools;Education";"cognition;computer science education;educational courses;educational institutions;further education";"cognitive levels;computer science students;bachelors degree program;computer science undergraduate programs;industry based social service program;university supported real life projects;capstone project;undergraduate student satisfaction;graduation requirements;industry-based program;IT industry;student perception";"";"";"41";"";"";"";"";"IEEE";"IEEE Conferences"
"Inclusive Model for the Development and Evaluation of Accessible Learning Objects for graduation in Computing: A Case Study";"A. B. Mourão; J. F. M. Netto";"University of State of Amazonas (UEA) Post-Graduate Program in Informatics (PPGI) University of Amazonas(UFAM); Manaus; Brasil; Post-Graduate Program in Informatics (PPGI); University of Amazonas (UFAM); Manaus; Brasil";"2018 IEEE Frontiers in Education Conference (FIE)";"";"2018";"";"";"1";"8";"This research presents the case study regarding the application of the Inclusive Model of Development and Evaluation of Accessible Learning Objects. The study was realized with undergraduate students in Computer Science. Universities in a general context need to adapt within the infrastructure; technology; training and qualification of teachers in order to meet the recent demand of Students with Special Educational Needs and Disabilities. The methodology was based on Project Based Learning; with an emphasis on the interactionist theory for the production of Accessible Learning Objects and adopted the standard Shareable Content Object Reference Model; so that the material produced is compatible with any Learning Management System. The results obtained demonstrate that the proposed teaching method has achieved significant results. The classes that participated in the case study developed their skills and acquired them through the artifacts produced; applying knowledge in their internship in public schools producing of educational solutions that support education at all levels. Also; this work allowed the motivation the group work; management; meeting schedules and activities; research; meeting standards and promoting of the importance of social and digital inclusion.";"2377-634X";"978-1-5386-1174-6";"10.1109/FIE.2018.8659129";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8659129";"Inclusive Model;Accessible Learning Objects;Students with Educational Needs and Disabilities";"Computational modeling;Process control;Production;Standards;Electronic learning;Adaptation models";"educational institutions;further education;learning management systems;teaching";"inclusive model;accessible learning objects;learning management system;shareable content object reference model;undergraduate students;computer science;students with special educational needs and disabilities;teaching method;project based learning;interactionist theory;ALO development";"";"1";"29";"";"";"";"";"IEEE";"IEEE Conferences"
"Designing a collaborative group project recommender for an e-learning system";"A. S. Alamri; A. I. Cristea; L. Shi";"Department of Computer Science; The University of Warwick; Coventry CV4 7AL; UK; Department of Computer Science; The University of Warwick; Coventry CV4 7AL; UK; Business School; The University of Warwick; Coventry CV4 7AL; UK";"2016 SAI Computing Conference (SAI)";"";"2016";"";"";"781";"787";"Collaborative work on project aids students to combine their personal expertise; experience and ability to achieve a shared work goal. However; a collaborative working environment that is appropriate for some students may be not suitable for other students. Students tend to have different interests; preferences; backgrounds or even knowledge. There is limited support for them that satisfies individual student's needs in the collaborative process. In this paper; we investigated the needs of the students for the recommended project; group members and tools communication for group project; aiming at collecting the requirements for the implementation of the research environment. Additionally; we propose a framework for recommendation of collaborative project work to function within a social e-Learning System. Moreover; we are proposing the architecture of the system.";"";"978-1-4673-8460-5";"10.1109/SAI.2016.7556068";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7556068";"Recommend project;group members;task;communication tools";"Collaboration;Electronic learning;Collaborative work;Computer science;Adaptation models;Ontologies;Web 2.0";"computer aided instruction;groupware;recommender systems";"collaborative group project recommender;collaborative working environment;student interests;student preferences;student background;student knowledge;group members;tool communication;social e-learning system";"";"";"21";"";"";"";"";"IEEE";"IEEE Conferences"
"Ten tips to succeed in global software engineering education: What do the students say?";"P. Filipovikj; J. Feljan; I. Crnković";"Mälardalen University Västerås; Sweden; Mälardalen University Västerås; Sweden; Mälardalen University Västerås; Sweden";"2013 3rd International Workshop on Collaborative Teaching of Globally Distributed Software Development (CTGDSD)";"";"2013";"";"";"20";"24";"When a project had followed advices from the best practices; we can raise a question whether the success (or failure) of the project came from following (or not following) the best practices; or whether there were additional reasons that led to the positive (or negative) outcome. In this paper we analyze a case of a student project performed as a part of our Distributed Software Development course. The project followed the advices from the “Ten Tips to Succeed in Global Software Engineering Education” publication. This paper analyzes the project work with respect to the advices. Focusing on the perspective of a student participating in the project; the paper tries to answer whether following the advices is sufficient for a positive project outcome.";"";"978-1-4673-6294-8";"10.1109/CTGDSD.2013.6635241";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6635241";"Distributed software development;education";"Software;Educational institutions;Software engineering;Cultural differences;Concrete";"computer science education;educational courses;project management;software engineering";"global software engineering education;project success;project failure;best practices;student project;Distributed Software Development course";"";"4";"9";"";"";"";"";"IEEE";"IEEE Conferences"
"Gauging influence in software development teams";"A. Marshall; R. Gamble";"Tandy School of Computer Science; University of Tulsa; Tulsa; OK USA; Tandy School of Computer Science; University of Tulsa; Tulsa; OK USA";"2015 IEEE Frontiers in Education Conference (FIE)";"";"2015";"";"";"1";"8";"Agile software development teams are generally small; focused groups that require highly motivated members operating in a high-trust environment. Through interactive communication and collaborative work; team members can influence project outcomes both directly and indirectly. One method to examine influence is in terms of communication and control flow among team members when sharing a communication medium and artifact development tools. There currently exist several approaches for characterizing team communication using social network analysis. However; these approaches require modification to be applicable for measuring control flow influence in small teams. In this paper; we discuss the methodology and results of an influence study in which we analyze data generated by student teams in a capstone Software Engineering course. We develop three metrics to measure direct and indirect influence among team members; taking into account the temporal order of interactions and the small size of the teams studied. We correlate the influence metrics with grades; existing participation metrics; and team evaluation scores. The results suggest that our influence metrics correlate to a team member's perceived role on the team; measures of team communication and levels of task performance. This suggests that instructors can recognize the levels of influence exerted by team members by examining team communication and control flow; allowing for mediation prior to product development milestones.";"";"978-1-4799-8454-1";"10.1109/FIE.2015.7344106";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7344106";"Computer science education;agile software development;collaborative work;social network analysis;centrality";"Social network services;Peer-to-peer computing;Software engineering;Atmospheric measurements;Particle measurements;Indexes";"computer aided instruction;computer science education;educational courses;groupware;social networking (online);software prototyping";"agile software development team;interactive communication;collaborative work;team communication;social network analysis;capstone software engineering course";"";"3";"12";"";"";"";"";"IEEE";"IEEE Conferences"
"Adveisor — Analysis of an established soft skill program for students in the field of electrical engineering";"A. W. Ebentheuer; J. Kammermann; H. Herzog";"Institute for Energy Conversion Technology; Technical University of Munich (TUM); Munich; Germany; Institute for Energy Conversion Technology; Technical University of Munich (TUM); Munich; Germany; Institute for Energy Conversion Technology; Technical University of Munich (TUM); Munich; Germany";"2017 IEEE Global Engineering Education Conference (EDUCON)";"";"2017";"";"";"468";"475";"“Train soft skills and realize projects” is the slogan of the adveisor program which will be presented within this paper; based on the experiences und results of analyzing nine years of executing the program in the Department of Electrical and Computer Engineering of the Technical University of Munich (TUM). The main idea of adveisor is to teach and train the next generation of electrical engineers also in the field of soft skills and give them the chance to learn new technical; but especially personal skills. In order to strengthen the above mentioned skills the participants are given a technical hands-on project with restricted money and limited time in a safe environment with fixed framework conditions; where they are free to act and develop themselves. The evaluation shows; how the students perceive the internal development and also the basic numerical distributions of the participants.";"2165-9567";"978-1-5090-5467-1";"10.1109/EDUCON.2017.7942889";"";"https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7942889";"soft skills;student project;hands-on experience;problem based learning;teaching;education;evaluation;statistics;adveisor";"Conferences;Seminars;Organizations;Project management;Engineering education;Computers";"computer based training;educational institutions;electrical engineering computing;electrical engineering education;teaching";"student soft skill program;adveisor program;Department-of-Electrical-and-Computer Engineering;Technical University of Munich;TUM;personal skills;fixed-framework conditions;internal development";"";"";"9";"";"";"";"";"IEEE";"IEEE Conferences"
